Entity,Code,Year,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Not at all comfortable - Gender: all - Age_group: all
Africa,,2020,26.631048
Albania,ALB,2020,27.573915
Algeria,DZA,2020,11.403895
Argentina,ARG,2020,26.33392
Asia,,2020,26.5225
Australia,AUS,2020,30.768505
Austria,AUT,2020,12.19925
Bahrain,BHR,2020,10.974083
Bangladesh,BGD,2020,13.897019
Belgium,BEL,2020,47.4551
Benin,BEN,2020,49.806866
Bolivia,BOL,2020,26.741785
Bosnia and Herzegovina,BIH,2020,45.78247
Brazil,BRA,2020,27.442812
Bulgaria,BGR,2020,30.427782
Burkina Faso,BFA,2020,32.131737
Cambodia,KHM,2020,25.787365
Cameroon,CMR,2020,41.692066
Canada,CAN,2020,30.16054
Chile,CHL,2020,31.721937
China,CHN,2020,33.000927
Colombia,COL,2020,31.50998
Congo,COG,2020,33.87431
Costa Rica,CRI,2020,31.325611
Cote d'Ivoire,CIV,2020,38.2792
Croatia,HRV,2020,32.441177
Cyprus,CYP,2020,43.460884
Czechia,CZE,2020,30.503748
Denmark,DNK,2020,29.572647
Dominican Republic,DOM,2020,33.552456
Ecuador,ECU,2020,24.159279
Egypt,EGY,2020,7.0692477
El Salvador,SLV,2020,30.70151
Estonia,EST,2020,58.77812
Ethiopia,ETH,2020,18.197817
Europe,,2020,32.028767
Finland,FIN,2020,52.43983
France,FRA,2020,54.558666
Gabon,GAB,2020,26.249239
Georgia,GEO,2020,31.122108
Germany,DEU,2020,9.805233
Ghana,GHA,2020,46.048683
Greece,GRC,2020,50.022278
Guinea,GIN,2020,38.012028
High-income countries,,2020,33.974895
Hong Kong,HKG,2020,53.083908
Hungary,HUN,2020,42.20791
India,IND,2020,16.727356
Indonesia,IDN,2020,32.622726
Iran,IRN,2020,14.422836
Iraq,IRQ,2020,9.31483
Ireland,IRL,2020,30.653572
Israel,ISR,2020,30.72087
Italy,ITA,2020,26.42569
Japan,JPN,2020,47.1174
Jordan,JOR,2020,7.025207
Kazakhstan,KAZ,2020,21.426638
Kenya,KEN,2020,33.51484
Kosovo,OWID_KOS,2020,25.293646
Kyrgyzstan,KGZ,2020,14.115259
Laos,LAO,2020,13.621325
Latvia,LVA,2020,44.533005
Lebanon,LBN,2020,18.080757
Lithuania,LTU,2020,36.388954
Low-income countries,,2020,22.40241
Lower-middle-income countries,,2020,21.386637
Malaysia,MYS,2020,39.284344
Mali,MLI,2020,21.150087
Malta,MLT,2020,44.14287
Mauritius,MUS,2020,25.509037
Mexico,MEX,2020,32.218464
Moldova,MDA,2020,39.16549
Mongolia,MNG,2020,28.71708
Montenegro,MNE,2020,41.023323
Morocco,MAR,2020,5.833535
Myanmar,MMR,2020,18.533594
Namibia,NAM,2020,53.880024
Nepal,NPL,2020,12.812736
Netherlands,NLD,2020,25.402487
New Zealand,NZL,2020,31.254427
Nicaragua,NIC,2020,28.99789
Nigeria,NGA,2020,40.30393
North America,,2020,33.293205
North Macedonia,MKD,2020,39.874588
Norway,NOR,2020,37.7292
Oceania,,2020,30.847002
Paraguay,PRY,2020,33.63717
Peru,PER,2020,22.786009
Philippines,PHL,2020,28.513657
Poland,POL,2020,35.20891
Portugal,PRT,2020,34.1866
Romania,ROU,2020,34.389545
Russia,RUS,2020,35.713253
Saudi Arabia,SAU,2020,7.458618
Senegal,SEN,2020,41.060318
Serbia,SRB,2020,36.863403
Slovakia,SVK,2020,20.47535
Slovenia,SVN,2020,30.920343
South Africa,ZAF,2020,35.613506
South America,,2020,28.78697
South Korea,KOR,2020,44.512325
Spain,ESP,2020,34.194344
Sri Lanka,LKA,2020,14.853881
Sweden,SWE,2020,21.397581
Switzerland,CHE,2020,17.23282
Taiwan,TWN,2020,52.578594
Tanzania,TZA,2020,17.96401
Thailand,THA,2020,21.170624
Tunisia,TUN,2020,9.067545
Turkey,TUR,2020,42.998055
Uganda,UGA,2020,25.484604
Ukraine,UKR,2020,33.81334
United Arab Emirates,ARE,2020,17.135777
United Kingdom,GBR,2020,27.629341
United States,USA,2020,34.183014
Upper-middle-income countries,,2020,31.974173
Uruguay,URY,2020,33.311874
Uzbekistan,UZB,2020,14.763067
Venezuela,VEN,2020,44.813244
Vietnam,VNM,2020,35.320984
World,OWID_WRL,2020,27.904293
Zambia,ZMB,2020,37.58758
Zimbabwe,ZWE,2020,14.606491
